nom_film,type_production,theme_production,Synopsis,Realisateur,duree_film,sortie_film,acteurs_principaux,charts,rang,charts_IMDB,charts_METACRITIC,other_details
Mad Max : Fury Road,Film,"['Action', ' aventure', ' science-fiction']",Max est capturé et fait prisonnier dans la Citadelle dirigée par Immortan Joe. C’est alors qu'il se retrouve embarqué dans une course poursuite explosive.,['George Miller'],2 h,13 mai 2015,"['Tom Hardy', ' Charlize Theron', ' Nicholas Hoult']","{'note_moyenne': 7.7, 'nombre_critiques': 69175, 'repartition_note': [386, 458, 862, 1682, 3304, 6978, 15184, 21062, 13696, 5563]}",1,"['8,1', '879 159']",90,"{'budget': '$150,000,000', 'Cumulative_WW_Gross': '$375,389,666', 'location': 'Australia | South Africa | USA'}"
Vice-Versa,Long-métrage d'animation,['Animation'],"Riley, une petite fille, doit déménager et se trouver de nouveaux amis. On suit le parcours de ses cinq émotions, joie, tristesse, colère, dégoût et peur.","['Pete Docter', 'Ronnie del Carmen']",1 h 34 min,19 juin 2015,"['Amy Poehler', ' Phyllis Smith', ' Bill Hader']","{'note_moyenne': 7.5, 'nombre_critiques': 59999, 'repartition_note': [104, 169, 366, 930, 2652, 7216, 16491, 19392, 9589, 3090]}",2,"['8,1', '613 256']",94,"{'budget': '$175,000,000', 'Cumulative_WW_Gross': '$858,071,350', 'location': 'USA'}"
Birdman,Film,"['Comédie', 'drame']","Riggan Thomson, acteur autrefois célèbre pour avoir joué un super-héros, tente de retrouver sa célébrité en montant une pièce à Broadway.",['Alejandro González Inárritu'],1 h 59 min,17 octobre 2014,"['Michael Keaton', ' Zach Galifianakis', ' Edward Norton']","{'note_moyenne': 7.3, 'nombre_critiques': 51493, 'repartition_note': [210, 316, 650, 1422, 2799, 6230, 13275, 16389, 8014, 2188]}",3,"['7,7', '578 684']",87,"{'budget': '$18,000,000', 'Cumulative_WW_Gross': '$103,215,094', 'location': 'USA'}"
Kingsman : Services secrets,Film,"['Action', 'thriller']","Harry Hart, super espion au service secret des Kingsman, prend sous son aile un jeune un peu perdu et le forme dans le but de sauver le monde d'un complot.",['Matthew Vaughn'],2 h 09 min,29 janvier 2015,"['Taron Egerton', ' Colin Firth', ' Samuel L. Jackson']","{'note_moyenne': 7.1, 'nombre_critiques': 55015, 'repartition_note': [181, 304, 576, 1318, 2914, 7946, 18074, 16628, 5629, 1445]}",4,"['7,7', '589 281']",60,"{'budget': '$81,000,000', 'Cumulative_WW_Gross': '$414,351,546', 'location': 'UK | USA'}"
Star Wars : Le Réveil de la Force,Film,"['Action', ' aventure', 'science-fiction']","Septième épisode de la saga Star Wars et premier d'une nouvelle trilogie, dont les événements se déroulent trente ans après Le retour du Jedi. Plus de 30 ans après la bataille d'Endor, qui a vu la chute de l'Empire galactique, la paix et la nouvelle république sont encore fragiles. Les... Lire la suite",['J.J. Abrams'],2 h 16 min,16 décembre 2015,"['Daisy Ridley', ' Adam Driver', ' John Boyega']","{'note_moyenne': 6.4, 'nombre_critiques': 60266, 'repartition_note': [819, 866, 1684, 3441, 6937, 12924, 17728, 11257, 3432, 1178]}",5,"['7,9', '859 038']",80,"{'budget': '$245,000,000', 'Cumulative_WW_Gross': '$2,068,454,133', 'location': 'USA'}"
Ex Machina,Film,"['Drame', ' science-fiction', 'thriller']","Gagnant un séjour offert par la boîte qui l'emploie, Caleb découvre sur place qu'il devra participer à une expérience sur l'intelligence artificielle.",['Alex Garland'],1 h 48 min,23 janvier 2015,"['Domhnall Gleeson', ' Oscar Isaac', ' Alicia Vikander']","{'note_moyenne': 7.2, 'nombre_critiques': 31360, 'repartition_note': [57, 90, 245, 624, 1645, 4724, 11134, 9569, 2735, 537]}",6,"['7,7', '472 777']",78,"{'budget': '$15,000,000', 'Cumulative_WW_Gross': '$36,869,414', 'location': 'UK'}"
Seul sur Mars,Film,"['Action', ' aventure', 'science-fiction']","Au cours d’une mission spatiale habitée sur Mars, et à la suite d’un violent orage, l’astronaute Mark Watney est laissé pour mort et abandonné sur place par son équipage. Mais Watney a survécu et se retrouve seul sur cette planète hostile. Avec de maigres provisions, il ne doit compter que sur son ingéniosité, son bon sens et son intelligence pour survivre et trouver un moyen d’alerter la Terre qu’il est encore vivant. À des millions de kilomètres de là, la NASA et une équipe de scientifiques internationaux travaillent sans relâche pour ramener ""le Martien"" sur terre, pendant que, en parallèle, ses coéquipiers tentent secrètement d’organiser une audacieuse voire impossible mission de sauvetage.",['Ridley Scott'],2 h 21 min,2 octobre 2015,"['Matt Damon', ' Kate Mara', ' Jessica Chastain']","{'note_moyenne': 6.8, 'nombre_critiques': 47061, 'repartition_note': [141, 251, 529, 1318, 3414, 9317, 17352, 11163, 2856, 720]}",7,"['8,0', '757 872']",80,"{'budget': '$108,000,000', 'Cumulative_WW_Gross': '$630,162,235', 'location': 'UK | USA | Hungary | Jordan'}"
Réalité,Film,['Comédie dramatique'],"Jason veut réaliser un film d'horreur, son producteur le finance à la seule condition qu'il trouve le meilleur gémissement de l'histoire du cinéma en 48h.",['Quentin Dupieux (Mr. Oizo)'],1 h 27 min,18 février 2015,"['Alain Chabat', ' Jonathan Lambert', ' Élodie Bouchez']","{'note_moyenne': 7.2, 'nombre_critiques': 21755, 'repartition_note': [141, 150, 319, 606, 1300, 2946, 6031, 6269, 2980, 1013]}",8,"['6,9', '5 299']",55,"{'budget': None, 'Cumulative_WW_Gross': '$423,619', 'location': 'France | Belgium | USA'}"
Sicario,Film,"['Policier', ' drame', 'thriller']","La zone frontalière entre les Etats-Unis et le Mexique est devenue un territoire de non-droit. Kate, une jeune recrue idéaliste du FBI, y est enrôlée pour aider un groupe d’intervention d’élite dirigé par un agent du gouvernement dans la lutte contre le trafic de drogues. Menée par un consultant énigmatique, l'équipe se lance dans un périple clandestin, obligeant Kate à remettre en question ses convictions pour pouvoir survivre.",['Denis Villeneuve'],2 h 01 min,17 septembre 2015,"['Emily Blunt', ' Benicio Del Toro', ' Josh Brolin']","{'note_moyenne': 7.0, 'nombre_critiques': 24781, 'repartition_note': [52, 80, 220, 575, 1669, 4441, 8827, 6860, 1706, 351]}",9,"['7,6', '369 893']",82,"{'budget': '$30,000,000', 'Cumulative_WW_Gross': '$84,872,444', 'location': 'USA | Mexico | Hong Kong'}"
Imitation Game,Film,"['Biopic', ' drame', ' thriller']","En 1940, Alan Turing est chargé par le gouvernement britannique d'entraver le fonctionnement d'Enigma, la machine de cryptage allemande, réputée invulnérable.",['Morten Tyldum'],1 h 54 min,14 novembre 2014,"['Benedict Cumberbatch', ' Keira Knightley', ' Matthew Goode']","{'note_moyenne': 7.0, 'nombre_critiques': 46221, 'repartition_note': [70, 127, 301, 798, 2217, 7093, 16252, 13589, 4583, 1191]}",10,"['8,0', '683 136']",73,"{'budget': '$14,000,000', 'Cumulative_WW_Gross': '$233,555,708', 'location': 'UK | USA'}"
