nom_film,type_production,theme_production,Synopsis,Realisateur,duree_film,sortie_film,acteurs_principaux,charts,rang,charts_IMDB,charts_METACRITIC,other_details
Django Unchained,Film,['Western'],Un esclave noir est affranchi par un chasseur de primes. Le moment est venu de sauver son épouse d'un riche propriétaire de plantation du Mississipi.,['Quentin Tarantino'],2 h 45 min,25 décembre 2012,"['Jamie Foxx', ' Christoph Waltz', ' Leonardo DiCaprio']","{'note_moyenne': 7.8, 'nombre_critiques': 134239, 'repartition_note': [966, 632, 978, 1794, 3750, 9727, 26436, 45397, 30682, 13877]}",1,"['8,4', '1 353 064']",81,"{'budget': '$100,000,000', 'Cumulative_WW_Gross': '$425,368,238', 'location': 'USA'}"
Gravity,Film,"['Drame', ' thriller', 'catastrophe']",Une ingénieur médicale et un astronaute tentent de retourner sur Terre après la destruction de leur navette. Ils se retrouvent seuls dans l’espace.,['Alfonso Cuarón'],1 h 30 min,4 octobre 2013,"['Sandra Bullock', ' George Clooney', ' Ed Harris']","{'note_moyenne': 6.8, 'nombre_critiques': 64868, 'repartition_note': [468, 844, 1746, 3385, 6426, 12623, 17940, 13782, 5756, 1898]}",2,"['7,7', '767 822']",96,"{'budget': '$100,000,000', 'Cumulative_WW_Gross': '$723,192,705', 'location': 'UK | USA | Mexico'}"
Le Loup de Wall Street,Film,"['Biopic', ' comédie dramatique', 'policier']","L’argent. Le pouvoir. Les femmes. La drogue. Les tentations étaient là, à portée de main, et les autorités n’avaient aucune prise. Aux yeux de Jordan et de sa meute, la modestie était devenue complètement inutile. Trop n’était jamais assez…",['Martin Scorsese'],3 h,25 décembre 2013,"['Leonardo DiCaprio', ' Jonah Hill', ' Margot Robbie']","{'note_moyenne': 7.4, 'nombre_critiques': 77286, 'repartition_note': [288, 403, 793, 1747, 3680, 8808, 20327, 25191, 12286, 3763]}",3,"['8,2', '1 180 403']",75,"{'budget': '$100,000,000', 'Cumulative_WW_Gross': '$392,000,694', 'location': 'USA'}"
Prisoners,Film,"['Policier', ' drame', 'thriller']",Un père apprend que sa fille a été kidnappée avec celle de son meilleur ami. Il se met alors à suspecter une personne qu'il va traquer...,['Denis Villeneuve'],2 h 33 min,20 septembre 2013,"['Hugh Jackman', ' Jake Gyllenhaal', ' Viola Davis']","{'note_moyenne': 7.7, 'nombre_critiques': 42584, 'repartition_note': [55, 54, 148, 395, 1003, 3338, 11180, 17227, 7452, 1732]}",4,"['8,1', '598 776']",70,"{'budget': '$46,000,000', 'Cumulative_WW_Gross': '$122,126,687', 'location': 'USA'}"
"Mud, sur les rives du Mississippi",Film,['Drame'],"Ellis et Neckbone, 14 ans, découvrent lors d’une escapade, un homme réfugié sur une île au milieu du Mississipi. C’est Mud. Pourquoi est-il ici ?",['Jeff Nichols'],2 h 10 min,1 mai 2013,"['Matthew McConaughey', ' Reese Witherspoon', ' Sam Shepard']","{'note_moyenne': 7.5, 'nombre_critiques': 23132, 'repartition_note': [32, 43, 92, 280, 721, 2531, 7411, 8702, 2787, 533]}",5,"['7,4', '167 858']",76,"{'budget': '$10,000,000', 'Cumulative_WW_Gross': '$32,613,173', 'location': 'USA'}"
Cloud Atlas,Film,"['Aventure', ' drame', 'science-fiction']","L'histoire se déroule sur 5 siècles dans plusieurs espaces-temps, des êtres se croisent et se retrouvent, naissant et renaissant successivement.","['Lilly Wachowski', ' Lana Wachowski', 'Tom Tykwer']",2 h 52 min,26 octobre 2012,"['Tom Hanks', ' Halle Berry', ' Jim Broadbent']","{'note_moyenne': 7.0, 'nombre_critiques': 36939, 'repartition_note': [288, 441, 816, 1600, 3011, 5638, 9327, 8983, 4704, 2131]}",6,"['7,4', '344 333']",55,"{'budget': '$102,000,000', 'Cumulative_WW_Gross': '$130,482,868', 'location': 'USA | Germany | Hong Kong | Singapore | China'}"
Snowpiercer – le Transperceneige,Film,"['Action', ' drame', 'science-fiction']",2031. Une nouvelle ère glaciaire. Les derniers survivants ont pris place à bord d'un train condamné à tourner autour de la Terre sans s’arrêter.,['Bong Joon-ho'],2 h 06 min,1 août 2013,"['Chris Evans', ' Song Kang-ho', ' Ed Harris']","{'note_moyenne': 6.7, 'nombre_critiques': 44927, 'repartition_note': [331, 536, 1109, 2405, 4431, 9000, 13631, 9575, 3096, 813]}",7,"['7,1', '318 025']",84,"{'budget': '$39,200,000', 'Cumulative_WW_Gross': '$86,758,912', 'location': 'South Korea | Czech Republic'}"
La Vie d'Adèle : Chapitres 1 et 2,Film,"['Drame', 'romance']","Adèle a 2 certitudes : elle est une fille, et une fille sort avec des garçons. Mais le jour où elle aperçoit Emma, elle sent que sa vie va changer.",['Abdellatif Kechiche'],2 h 59 min,9 octobre 2013,"['Adèle Exarchopoulos', ' Léa Seydoux', ' Salim Kechiouche']","{'note_moyenne': 6.5, 'nombre_critiques': 36847, 'repartition_note': [757, 864, 1376, 2408, 4049, 6720, 8785, 7005, 3534, 1349]}",8,"['7,7', '138 391']",89,"{'budget': 'EUR4,000,000', 'Cumulative_WW_Gross': '$19,465,835', 'location': 'France | Belgium | Spain'}"
The Place Beyond the Pines,Film,"['Policier', 'drame']","Cascadeur à moto, Luke découvre que Romina vient de donner naissance à son fils. Pour subvenir à leurs besoins, il commet une série de braquages.",['Derek Cianfrance'],2 h 20 min,29 mars 2013,"['Ryan Gosling', ' Bradley Cooper', ' Rose Byrne']","{'note_moyenne': 7.1, 'nombre_critiques': 25352, 'repartition_note': [55, 120, 232, 678, 1545, 4089, 8440, 7231, 2342, 620]}",9,"['7,3', '245 991']",68,"{'budget': '$15,000,000', 'Cumulative_WW_Gross': '$47,052,899', 'location': 'USA'}"
Le Hobbit : La Désolation de Smaug,Film,"['Aventure', ' drame', 'fantasy']",Suite des aventures de Bilbon et Gandalf partis à la recherche du trésor du dragon Smaug. En chemin ils mettront la main sur le pouvoir de l'anneau.,['Peter Jackson'],2 h 41 min,13 décembre 2013,"['Martin Freeman', ' Ian McKellen', ' Benedict Cumberbatch']","{'note_moyenne': 6.5, 'nombre_critiques': 48306, 'repartition_note': [304, 540, 1129, 2437, 5408, 11017, 14619, 8824, 2833, 1195]}",10,"['7,8', '600 009']",66,"{'budget': '$225,000,000', 'Cumulative_WW_Gross': '$958,366,855', 'location': 'New Zealand | USA'}"
Pacific Rim,Film,"['Action', ' aventure', 'science-fiction']",Des monstres titanesques attaquent nos civilisations depuis des années. Notre dernier espoir réside dans des robots géants contrôlés télépathiquement.,['Guillermo del Toro'],2 h 11 min,11 juillet 2013,"['Charlie Hunnam', ' Rinko Kikuchi', ' Idris Elba']","{'note_moyenne': 6.2, 'nombre_critiques': 34529, 'repartition_note': [449, 814, 1482, 2658, 4582, 7862, 9130, 5390, 1620, 542]}",11,"['6,9', '464 793']",65,"{'budget': '$190,000,000', 'Cumulative_WW_Gross': '$411,002,906', 'location': 'USA | Mexico | Hong Kong'}"
Inside Llewyn Davis,Film,"['Comédie dramatique', ' road movie', 'musique']",Inside Llewyn Davis raconte une semaine de la vie d'un jeune chanteur de folk dans l'univers musical de Greenwich Village en 1961.,"['Joel Coen', 'Ethan Coen']",1 h 45 min,6 novembre 2013,"['Oscar Isaac', ' Carey Mulligan', ' John Goodman']","{'note_moyenne': 7.1, 'nombre_critiques': 17750, 'repartition_note': [31, 67, 157, 550, 1281, 3220, 5848, 4720, 1494, 382]}",12,"['7,5', '139 312']",93,"{'budget': '$11,000,000', 'Cumulative_WW_Gross': '$32,960,249', 'location': 'USA | UK | France'}"
