nom_film,type_production,theme_production,Synopsis,Realisateur,duree_film,sortie_film,acteurs_principaux,charts,rang,charts_IMDB,charts_METACRITIC,other_details
Under the Silver Lake,Film,"['Thriller', ' drame', 'comédie']","À Los Angeles, Sam, 33 ans, sans emploi, rêve de célébrité. Lorsque Sarah, une jeune et énigmatique voisine, se volatilise brusquement, Sam se lance à sa recherche et entreprend alors une enquête obsessionnelle surréaliste à travers la ville. Elle le fera plonger jusque dans les profondeurs les plus ténébreuses de la Cité des Anges, où il devra élucider disparitions et meurtres mystérieux sur fond de scandales et de conspirations.",['David Robert Mitchell'],2 h 20 min,8 août 2018,"['Andrew Garfield', ' Riley Keough', ' Jimmi Simpson']","{'note_moyenne': 6.8, 'nombre_critiques': 12802, 'repartition_note': [106, 162, 282, 674, 1190, 2305, 3667, 3061, 1087, 268]}",11,"['6,5', '33 034']",60,"{'budget': '$8,500,000', 'Cumulative_WW_Gross': '$2,053,469', 'location': 'USA'}"
BlacKkKlansman - J'ai infiltré le Ku Klux Klan,Film,"['Comédie', ' policier', 'biopic']","Au début des années 70, au plus fort de la lutte pour les droits civiques, plusieurs émeutes raciales éclatent dans les grandes villes des États-Unis. Ron Stallworth devient le premier officier Noir américain du Colorado Springs Police Department, mais son arrivée est accueillie avec scepticisme, voire avec une franche hostilité, par les agents les moins gradés du commissariat. Prenant son courage à deux mains, Stallworth va tenter de faire bouger les lignes et, peut-être, de laisser une trace dans l’histoire. Il se fixe alors une mission des plus périlleuses : infiltrer le Ku Klux Klan pour en dénoncer les exactions. En se faisant passer pour un extrémiste, Stallworth contacte le groupuscule : il ne tarde pas à se voir convier d’en intégrer la garde rapprochée. Il entretient même un rapport privilégié avec le",['Spike Lee'],2 h 16 min,10 août 2018,"['John David Washington', ' Adam Driver', ' Laura Harrier']","{'note_moyenne': 7.0, 'nombre_critiques': 25634, 'repartition_note': [51, 78, 200, 505, 1320, 4161, 9532, 7324, 1987, 476]}",12,"['7,5', '221 535']",83,"{'budget': '$15,000,000', 'Cumulative_WW_Gross': '$93,400,823', 'location': 'USA'}"
Jusqu'à la garde,Film,['Drame'],"Le couple Besson divorce. Pour protéger son fils d’un père qu’elle accuse de violences, Miriam en demande la garde exclusive. La juge en charge du dossier accorde une garde partagée au père.",['Xavier Legrand'],1 h 33 min,7 février 2018,"['Léa Drucker', ' Denis Ménochet', ' Thomas Gioria']","{'note_moyenne': 7.5, 'nombre_critiques': 11281, 'repartition_note': [39, 34, 80, 161, 397, 1141, 3186, 4235, 1611, 397]}",13,"['7,5', '8 155']",83,"{'budget': None, 'Cumulative_WW_Gross': '$3,790,303', 'location': 'France'}"
Bohemian Rhapsody,Film,"['Biopic', ' drame', 'comédie musicale']","Bohemian Rhapsody retrace le destin extraordinaire du groupe Queen et de leur chanteur emblématique Freddie Mercury, qui a défié les stéréotypes, brisé les conventions et révolutionné la musique. Du succès fulgurant de Freddie Mercury à ses excès, risquant la quasi-implosion du groupe, jusqu’à son retour triomphal sur scène lors du concert Live Aid, alors qu’il était frappé par la maladie, découvrez la vie exceptionnelle d’un homme qui continue d’inspirer les outsiders, les rêveurs et tous ceux qui aiment la musique.",['Bryan Singer'],2 h 14 min,2 novembre 2018,"['Rami Malek', ' Lucy Boynton', ' Gwilym Lee']","{'note_moyenne': 6.8, 'nombre_critiques': 30701, 'repartition_note': [140, 238, 511, 1105, 2279, 4665, 8210, 8215, 3804, 1534]}",14,"['8,0', '448 229']",49,"{'budget': '$52,000,000', 'Cumulative_WW_Gross': '$905,234,477', 'location': 'UK | USA'}"
Hostiles,Film,"['Aventure', ' drame', 'western']","En 1892, le capitaine de cavalerie Joseph Blocker, ancien héros de guerre devenu gardien de prison, est contraint d’escorter Yellow Hawk, chef de guerre Cheyenne mourant, sur ses anciennes terres tribales. Peu après avoir pris la route, ils rencontrent Rosalee Quaid. Seule rescapée du massacre de sa famille par les Comanches, la jeune femme traumatisée se joint à eux dans leur périple.
Façonnés par la souffrance, la violence et la mort, ils ont en eux d’infinies réserves de colère et de méfiance envers autrui. Sur le périlleux chemin qui va les conduire du Nouveau-Mexique jusqu’au Montana, les anciens ennemis vont devoir faire preuve de solidarité pour survivre à l’environnement et aux tribus comanches qu’ils rencontrent.",['Scott Cooper'],2 h 14 min,28 décembre 2017,"['Christian Bale', ' Rosamund Pike', ' Wes Studi']","{'note_moyenne': 7.1, 'nombre_critiques': 11741, 'repartition_note': [33, 41, 98, 264, 705, 1787, 4014, 3412, 1129, 258]}",15,"['7,2', '70 777']",65,"{'budget': '$39,000,000', 'Cumulative_WW_Gross': '$35,669,017', 'location': 'USA'}"
Une affaire de famille,Film,['Drame'],"Osamu travaille comme journalier. Lui et son fils Shota aiment voler à l'étalage. Sur le chemin de la maison, Osamu trouve un soir, après une session de vol, la petite Yuri qu'il ramène chez lui, où vivent déjà sa femme Nobuyo, sa belle-sœur Aki et la grand-mère Hatsue. Ils forment ensemble une famille pauvre mais heureuse.",['Hirokazu Kore-eda'],2 h 01 min,8 juin 2018,"['Lily Franky', ' Sakura Andô', ' Mayu Matsuoka']","{'note_moyenne': 7.6, 'nombre_critiques': 10631, 'repartition_note': [11, 9, 27, 66, 226, 862, 2949, 4438, 1702, 341]}",16,"['7,9', '62 066']",93,"{'budget': None, 'Cumulative_WW_Gross': '$67,999,335', 'location': 'Japan'}"
The House That Jack Built,Film,"['Drame', ' policier', 'Épouvante-horreur']","États-Unis, années 70.
Nous suivons le très brillant Jack à travers cinq incidents et découvrons les meurtres qui vont marquer son parcours de tueur en série. L'histoire est vécue du point de vue de Jack. Il considère chaque meurtre comme une œuvre d'art en soi. Alors que l'ultime et inévitable intervention de la police ne cesse de se rapprocher (ce qui exaspère Jack et lui met la pression) il décide - contrairement à toute logique - de prendre de plus en plus de risques. Tout au long du film, nous découvrons les descriptions de Jack sur sa situation personnelle, ses problèmes et ses pensées. Un mélange grotesque de sophismes, d’apitoiement presque enfantin sur soi et d'explications détaillées sur les manœuvres dangereuses et difficiles de Jack.",['Lars von Trier'],2 h 35 min,9 novembre 2018,"['Matt Dillon', ' Uma Thurman', ' Siobhan Fallon Hogan']","{'note_moyenne': 7.2, 'nombre_critiques': 8698, 'repartition_note': [57, 85, 150, 283, 635, 1114, 2291, 2576, 1191, 316]}",17,"['6,8', '58 532']",42,"{'budget': 'EUR8,700,000', 'Cumulative_WW_Gross': '$3,081,913', 'location': 'Denmark | France | Sweden | Germany | Belgium | Tunisia'}"
Mission : Impossible - Fallout,Film,"['Action', 'thriller']","Au cours d'une mission, l'agent Hunt et ses hommes perdent une valise de plutonium, passée aux mains d'une organisation terroriste nommée les Apôtres. Dès lors, le monde court un terrible danger. Surveillé par la CIA qui remet en cause ses méthodes et pourchassé par des tueurs, Hunt se lance dans une course contre la montre pour sauver le monde.",['Christopher McQuarrie'],2 h 27 min,27 juillet 2018,"['Tom Cruise', ' Henry Cavill', ' Rebecca Ferguson']","{'note_moyenne': 6.8, 'nombre_critiques': 16599, 'repartition_note': [55, 76, 217, 537, 1465, 3632, 6000, 3601, 800, 216]}",18,"['7,7', '290 205']",86,"{'budget': '$178,000,000', 'Cumulative_WW_Gross': '$791,120,426', 'location': 'USA | China | France | Norway | UK'}"
"Mektoub, My Love : Canto uno",Film,"['Drame', 'romance']","Sète 1994, Amin retourne dans sa ville natale pour passer l'été avec sa famille et ses amis. Avec son cousin Tony ils draguent les jolies filles à la plage et font la rencontre de Charlotte et Céline.",['Abdellatif Kechiche'],2 h 55 min,21 février 2018,"['Shaïn Boumedine', ' Ophélie Bau', ' Salim Kechiouche']","{'note_moyenne': 7.1, 'nombre_critiques': 8264, 'repartition_note': [150, 119, 235, 401, 626, 1041, 1920, 2086, 1193, 493]}",19,"['6,4', '2 898']",59,"{'budget': None, 'Cumulative_WW_Gross': '$1,200,387', 'location': 'France | Italy'}"
Climax,Film,"['Épouvante-Horreur', 'expérimental']",Naître et mourir sont des expériences extraordinaires. Vivre est un plaisir fugitif.,['Gaspar Noé'],1 h 35 min,19 septembre 2018,"['Sofia Boutella', ' Romain Guillermic', ' Souheila Yacoub']","{'note_moyenne': 6.8, 'nombre_critiques': 11778, 'repartition_note': [174, 225, 337, 581, 924, 1631, 2756, 2976, 1621, 553]}",20,"['7,1', '52 152']",67,"{'budget': 'EUR2,600,000', 'Cumulative_WW_Gross': '$2,027,391', 'location': 'France | Belgium'}"
Le Grand Bain,Film,['Comédie dramatique'],"C’est dans les couloirs de leur piscine municipale que Bertrand, Marcus, Simon, Laurent, Thierry et les autres s’entraînent sous l’autorité de Delphine, ancienne gloire des bassins. Ensemble, ils vont se lancer dans une discipline jusque-là propriété de la gent féminine : la natation synchronisée.",['Gilles Lellouche'],1 h 58 min,24 octobre 2018,"['Mathieu Amalric', ' Guillaume Canet', ' Benoît Poelvoorde']","{'note_moyenne': 7.0, 'nombre_critiques': 24727, 'repartition_note': [55, 95, 231, 533, 1408, 4226, 9356, 6814, 1632, 377]}",21,"['7,0', '8 682']",47,"{'budget': None, 'Cumulative_WW_Gross': '$39,193,850', 'location': 'Belgium | France'}"
Hérédité,Film,"['Drame', 'Épouvante-horreur']","Toute famille cache un secret... Après la mort de leur grand-mère, les membres de la famille Graham tentent d'échapper au terrible sort dont ils ont hérité.",['Ari Aster'],2 h 07 min,21 juin 2018,"['Toni Collette', ' Alex Wolff', ' Milly Shapiro']","{'note_moyenne': 6.9, 'nombre_critiques': 12463, 'repartition_note': [102, 115, 234, 507, 995, 1993, 3687, 3313, 1194, 323]}",22,"['7,3', '239 074']",87,"{'budget': '$10,000,000', 'Cumulative_WW_Gross': '$80,239,658', 'location': 'USA'}"
Black Panther,Film,"['Action', ' aventure', 'science-fiction']","T'Challa retourne au royaume de Wakanda, une nation africaine cachée et convoitée, afin de prendre sa place légitime sur le trône.",['Ryan Coogler'],2 h 14 min,16 février 2018,"['Chadwick Boseman', ' Michael B. Jordan', "" Lupita Nyong'o""]","{'note_moyenne': 6.1, 'nombre_critiques': 31441, 'repartition_note': [323, 404, 950, 1908, 4045, 7862, 9464, 4618, 1249, 618]}",23,"['7,3', '622 975']",88,"{'budget': '$200,000,000', 'Cumulative_WW_Gross': '$1,347,597,973', 'location': 'USA'}"
Les Frères Sisters,Film,['Western'],"Oregon, années 1850. Un chercheur d'or est pourchassé par un duo d'assassins, les frères Sisters.",['Jacques Audiard'],2 h 02 min,19 septembre 2018,"['John C. Reilly', ' Joaquin Phoenix', ' Jake Gyllenhaal']","{'note_moyenne': 7.0, 'nombre_critiques': 16348, 'repartition_note': [27, 37, 117, 288, 939, 2925, 6563, 4407, 871, 174]}",24,"['7,0', '53 389']",78,"{'budget': '$38,000,000', 'Cumulative_WW_Gross': '$13,143,056', 'location': 'France | Spain | Romania | Belgium | USA'}"
Au poste !,Film,['Comédie'],"Un poste de police. Un tête-à-tête, en garde à vue, entre un commissaire et son suspect.",['Quentin Dupieux (Mr. Oizo)'],1 h 13 min,4 juillet 2018,"['Benoît Poelvoorde', ' Grégoire Ludig', ' Marc Fraize']","{'note_moyenne': 6.8, 'nombre_critiques': 17946, 'repartition_note': [65, 101, 218, 464, 1290, 3623, 7439, 3780, 792, 174]}",25,"['6,7', '3 276']",Reviews,"{'budget': None, 'Cumulative_WW_Gross': '$1,988,526', 'location': 'France | Belgium'}"
Burning,Film,"['Drame', 'thriller']","Lors d’une livraison, Jong-Soo, un jeune coursier, retrouve par hasard son ancienne voisine, Hae-Mi, qui le séduit immédiatement. De retour d’un voyage à l’étranger, celle-ci revient cependant avec Ben, un garçon fortuné et mystérieux. Alors que s’instaure entre eux un troublant triangle amoureux, Ben révèle à Jong-Soo son étrange secret. Peu de temps après, Hae-Mi disparaît…",['Lee Chang-dong'],2 h 28 min,17 mai 2018,"['Yoo Ah-In', ' Steven Yeun', ' Jun Jong-seo']","{'note_moyenne': 7.0, 'nombre_critiques': 7283, 'repartition_note': [25, 38, 112, 247, 553, 1141, 2139, 2081, 730, 217]}",26,"['7,5', '48 803']",90,"{'budget': None, 'Cumulative_WW_Gross': '$7,578,029', 'location': 'South Korea | Japan'}"
Le monde est à toi,Film,"['Comédie', 'gangster']","François, petit dealer, a un rêve : devenir le distributeur officiel de Mr Freeze au Maghreb. Cette vie, qu’il convoite tant, vole en éclats quand il apprend que Dany, sa mère, a dépensé toutes ses économies.
Poutine, le caïd lunatique de la cité propose à François un plan en Espagne pour se refaire. Mais quand tout son entourage : Lamya son amour de jeunesse, Henri un ancien beau-père à la ramasse tout juste sorti de prison, les deux jeunes Mohamed complotistes et sa mère chef d’un gang de femmes pickpockets, s’en mêle, rien ne va se passer comme prévu !",['Romain Gavras'],1 h 41 min,15 août 2018,"['Karim Leklou', ' Isabelle Adjani', ' Vincent Cassel']","{'note_moyenne': 6.9, 'nombre_critiques': 12199, 'repartition_note': [75, 94, 169, 359, 788, 1996, 4139, 3320, 1003, 256]}",27,"['6,4', '3 674']",73,"{'budget': None, 'Cumulative_WW_Gross': '$2,747,894', 'location': 'France'}"
Annihilation,Film,"['Épouvante-Horreur', ' drame', ' science-fiction']","Une biologiste signe pour une dangereuse mission secrète, là où la loi de la nature ne s'applique pas.",['Alex Garland'],1 h 55 min,28 février 2018,"['Natalie Portman', ' Tessa Thompson', ' Jennifer Jason Leigh']","{'note_moyenne': 6.1, 'nombre_critiques': 21205, 'repartition_note': [179, 311, 710, 1758, 3362, 5825, 5773, 2503, 639, 145]}",28,"['6,8', '279 961']",79,"{'budget': '$40,000,000', 'Cumulative_WW_Gross': '$43,070,915', 'location': 'UK'}"
Pentagon Papers,Film,"['Biopic', ' drame', ' historique']","En 1971 éclate aux Etats-Unis l'affaire des ""Pentagon Papers"", vaste fuite de renseignements liés à la Guerre du Vietnam. Les documents rendus publics par le Washington Post éclaboussent alors la classe politique US de l'époque.",['Steven Spielberg'],1 h 56 min,22 décembre 2017,"['Meryl Streep', ' Tom Hanks', ' Sarah Paulson']","{'note_moyenne': 6.7, 'nombre_critiques': 14877, 'repartition_note': [28, 43, 124, 391, 1282, 3604, 5824, 2819, 610, 152]}",29,"['7,2', '135 351']",83,"{'budget': '$50,000,000', 'Cumulative_WW_Gross': '$179,769,467', 'location': 'USA | UK'}"
Roma,Film,['Drame'],La vie d'une famille au début des années 1970 à Mexico.,['Alfonso Cuarón'],2 h 15 min,14 décembre 2018,"['Yalitza Aparicio', ' Marina de Tavira', ' Diego Cortina Autrey']","{'note_moyenne': 7.1, 'nombre_critiques': 8594, 'repartition_note': [21, 39, 118, 218, 518, 1270, 2474, 2634, 1002, 300]}",30,"['7,7', '139 721']",96,"{'budget': None, 'Cumulative_WW_Gross': '$1,140,769', 'location': 'Mexico | USA'}"
Leto,Film,"['Biopic', ' drame', 'musique']","Leningrad. Un été du début des années 80. En amont de la Perestroïka, les disques de Lou Reed et de David Bowie s’échangent en contrebande, et une scène rock émerge. Mike et sa femme la belle Natacha rencontrent le jeune Viktor Tsoï. Entourés d’une nouvelle génération de musiciens, ils vont changer le cours du rock’n’roll en Union Soviétique.",['Kirill Serebrennikov'],2 h 06 min,7 juin 2018,"['Roman Bilyk', ' Irina Starshenbaum', ' Yoo Teo']","{'note_moyenne': 7.4, 'nombre_critiques': 4543, 'repartition_note': [14, 15, 45, 77, 227, 525, 1199, 1518, 704, 219]}",31,"['7,3', '5 981']",69,"{'budget': None, 'Cumulative_WW_Gross': '$3,071,877', 'location': 'Russia | France'}"
Deadpool 2,Film,"['Action', ' aventure', ' comédie']","Plus grand, plus-mieux, et occasionnellement les fesses à l’air, Deadpool devra affronter un Super-Soldat, repenser l’amitié, la famille, et ce que signifie l’héroïsme – tout en bottant cinquante nuances de culs, car comme chacun sait, pour faire le Bien, il faut parfois se salir les doigts.",['David Leitch'],1 h 59 min,18 mai 2018,"['Ryan Reynolds', ' Josh Brolin', ' Morena Baccarin']","{'note_moyenne': 6.4, 'nombre_critiques': 24877, 'repartition_note': [163, 262, 535, 1189, 2718, 6160, 8120, 4216, 1089, 425]}",32,"['7,7', '476 565']",66,"{'budget': '$110,000,000', 'Cumulative_WW_Gross': '$785,794,344', 'location': 'Canada | USA'}"
"Moi, Tonya",Film,"['Biopic', ' drame', 'sport']","Le parcours de la sportive controversée Tonya Harding, championne de patinage artistique dans les années 80-90, première femme à réussir un triple axel dans une compétition majeure, mais surtout connue aujourd'hui pour sa célèbre rivalité avec la patineuse Nancy Kerrigan aux JO de 1994 et sa tentative avec son mari de nuire à sa rivale.",['Craig Gillespie'],2 h,2018,"['Margot Robbie', ' Sebastian Stan', ' Allison Janney']","{'note_moyenne': 7.1, 'nombre_critiques': 10506, 'repartition_note': [9, 16, 34, 119, 454, 1705, 4475, 2947, 606, 141]}",33,"['7,5', '181 083']",77,"{'budget': '$11,000,000', 'Cumulative_WW_Gross': '$53,939,297', 'location': 'USA | UK | Australia | Canada'}"
Les Heures sombres,Film,['Biopic'],"Darkest Hour s'intéresse à une partie de la vie de Winston Churchill, à partir de mai 1940, lorsqu'il devient Premier ministre en pleine Seconde guerre mondiale.",['Joe Wright'],2 h 05 min,22 novembre 2017,"['Gary Oldman', ' Lily James', ' Kristin Scott Thomas']","{'note_moyenne': 7.0, 'nombre_critiques': 10638, 'repartition_note': [19, 23, 77, 189, 592, 1838, 4188, 2831, 714, 167]}",34,"['7,4', '171 469']",75,"{'budget': '$30,000,000', 'Cumulative_WW_Gross': '$150,847,274', 'location': 'UK | USA'}"
Lady Bird,Film,['Comédie dramatique'],"Christine « Lady Bird » McPherson se bat désespérément pour ne pas ressembler à sa mère, aimante mais butée et au fort caractère, qui travaille sans relâche en tant qu’infirmière pour garder sa famille à flot après que le père de Lady Bird ait perdu son emploi.",['Greta Gerwig'],1 h 33 min,3 novembre 2017,"['Saoirse Ronan', ' Laurie Metcalf', ' Beanie Feldstein']","{'note_moyenne': 6.5, 'nombre_critiques': 14451, 'repartition_note': [44, 69, 211, 475, 1480, 3704, 5046, 2586, 638, 198]}",35,"['7,4', '240 067']",94,"{'budget': '$10,000,000', 'Cumulative_WW_Gross': '$78,965,611', 'location': 'USA'}"
Sans un bruit,Film,"['Épouvante-Horreur', 'thriller']","Une famille tente de survivre sous la menace de mystérieuses créatures qui attaquent au moindre bruit. S’ils vous entendent, il est déjà trop tard.",['John Krasinski'],1 h 30 min,6 avril 2018,"['Emily Blunt', ' John Krasinski', ' Millicent Simmonds']","{'note_moyenne': 6.5, 'nombre_critiques': 15430, 'repartition_note': [76, 164, 360, 723, 1566, 3613, 5531, 2679, 552, 166]}",36,"['7,5', '406 322']",82,"{'budget': '$17,000,000', 'Cumulative_WW_Gross': '$340,952,971', 'location': 'USA'}"
A Star Is Born,Film,"['Drame', ' comédie musicale', 'romance']","Star de country un peu oubliée, Jackson Maine découvre Ally, une jeune chanteuse très prometteuse. Tandis qu'ils tombent follement amoureux l'un de l'autre, Jack propulse Ally sur le devant de la scène et fait d'elle une artiste adulée par le public. Bientôt éclipsé par le succès de la jeune... Lire la suite",['Bradley Cooper'],2 h 15 min,3 octobre 2018,"['Lady Gaga', ' Bradley Cooper', ' Sam Elliott']","{'note_moyenne': 6.6, 'nombre_critiques': 18236, 'repartition_note': [94, 165, 365, 834, 1734, 3849, 5731, 3705, 1247, 512]}",37,"['7,6', '332 650']",88,"{'budget': '$36,000,000', 'Cumulative_WW_Gross': '$436,188,866', 'location': 'USA'}"
