nom_film,type_production,theme_production,Synopsis,Realisateur,duree_film,sortie_film,acteurs_principaux,charts,rang,charts_IMDB,charts_METACRITIC,other_details
"3 Billboards, les panneaux de la vengeance",Film,"['Comédie', ' policier', 'drame']","Après des mois sans que l'enquête sur la mort de sa fille ait avancé, Mildred Hayes prend les choses en main, affichant un message controversé visant le très respecté chef de la police sur trois grands panneaux à l'entrée de leur ville.",['Martin McDonagh'],1 h 56 min,10 novembre 2017,"['Frances McDormand', ' Woody Harrelson', ' Sam Rockwell']","{'note_moyenne': 7.6, 'nombre_critiques': 31486, 'repartition_note': [51, 56, 180, 367, 885, 2700, 8176, 12673, 5253, 1145]}",1,"['8,2', '429 787']",88,"{'budget': '$15,000,000', 'Cumulative_WW_Gross': '$160,192,031', 'location': 'UK | USA'}"
L'Île aux chiens,Long-métrage d'animation,"['Aventure', ' comédie', ' science-fiction']",,['Wes Anderson'],1 h 41 min,11 avril 2018,"['Bryan Cranston', ' Edward Norton', ' Bill Murray']","{'note_moyenne': 7.7, 'nombre_critiques': 25903, 'repartition_note': [35, 29, 54, 193, 642, 2105, 6492, 9982, 5007, 1364]}",2,"['7,9', '138 036']",82,"{'budget': None, 'Cumulative_WW_Gross': '$64,248,949', 'location': 'Germany | Japan | USA | UK'}"
Ready Player One,Film,"['Action', ' aventure', 'science-fiction']","2044. La Terre est à l’agonie. Comme la majeure partie de l’humanité, Wade, 17 ans, passe son temps dans l’OASIS – un univers virtuel où chacun peut vivre et être ce qui lui chante. Mais lorsque le fondateur de l’OASIS meurt sans héritier, une formidable chasse au trésor est lancée : celui qui... Lire la suite",['Steven Spielberg'],2 h 20 min,28 mars 2018,"['Tye Sheridan', ' Olivia Cooke', ' Ben Mendelsohn']","{'note_moyenne': 6.8, 'nombre_critiques': 40247, 'repartition_note': [237, 364, 827, 1630, 3251, 6990, 11649, 9502, 4242, 1555]}",3,"['7,5', '367 256']",64,"{'budget': '$175,000,000', 'Cumulative_WW_Gross': '$582,893,671', 'location': 'USA | India'}"
Spider-Man : New Generation,Long-métrage d'animation,"['Action', ' aventure', 'fantastique']","Miles Morales est un adolescent afro-américain et portoricain qui vit à Brooklyn et s'efforce de s'intégrer dans son nouveau collège à Manhattan. Mais sa vie se complique quand il se fait mordre par une araignée radioactive et se découvre des super-pouvoirs : il est désormais capable d'empoisonner ses adversaires, de se camoufler, de coller littéralement aux murs et aux plafonds ; son ouïe est démultipliée… Dans le même temps, le plus redoutable cerveau criminel de la ville, le Caïd, a mis au point un accélérateur de particules nucléaires capable d'ouvrir un portail sur d'autres univers. Son invention va provoquer l'arrivée de plusieurs autres versions de Spider-Man dans le monde de Miles, dont un Peter Parker plus âgé, Spider-Gwen, Spider-Man Noir, Spider-Cochon et Peni Parker, venue d'un dessin animé japonais.","['Bob Persichetti', ' Peter Ramsey', 'Rodney Rothman']",1 h 57 min,19 décembre 2018,"['Shameik Moore', ' Jake Johnson', ' Hailee Steinfeld']","{'note_moyenne': 8.0, 'nombre_critiques': 22649, 'repartition_note': [42, 29, 56, 127, 352, 1222, 4197, 8429, 6010, 2185]}",4,"['8,4', '371 598']",87,"{'budget': '$90,000,000', 'Cumulative_WW_Gross': '$375,540,831', 'location': 'USA'}"
La Forme de l'eau,Film,"['Drame', ' fantastique', 'romance']","Modeste employée d’un laboratoire gouvernemental ultrasecret, Elisa mène une existence solitaire, d’autant plus isolée qu’elle est muette. Sa vie bascule à jamais lorsqu’elle et sa collègue Zelda découvrent une expérience encore plus secrète que les autres…",['Guillermo del Toro'],2 h 03 min,8 décembre 2017,"['Sally Hawkins', ' Michael Shannon', ' Richard Jenkins']","{'note_moyenne': 6.8, 'nombre_critiques': 36828, 'repartition_note': [178, 271, 649, 1397, 3018, 6926, 11403, 8935, 3119, 932]}",5,"['7,3', '369 465']",87,"{'budget': '$19,400,000', 'Cumulative_WW_Gross': '$195,333,312', 'location': 'USA | Canada | Mexico'}"
Avengers : Infinity War,Film,"['Action', ' aventure', ' fantasy']",Les Avengers et leurs alliés devront être prêts à tout sacrifier pour neutraliser le redoutable Thanos avant que son attaque éclair ne conduise à la destruction complète de l’univers.,"['Anthony Russo', 'Joe Russo']",2 h 29 min,4 mai 2018,"['Robert Downey Jr.', ' Chris Hemsworth', ' Chris Evans']","{'note_moyenne': 7.1, 'nombre_critiques': 34767, 'repartition_note': [214, 273, 477, 872, 2018, 4649, 9959, 9888, 4484, 1933]}",6,"['8,4', '829 282']",68,"{'budget': '$321,000,000', 'Cumulative_WW_Gross': '$2,048,359,754', 'location': 'USA'}"
Call Me by Your Name,Film,"['Drame', 'romance']","Été 1983. Elio Perlman, 17 ans, passe ses vacances dans la villa du XVIIe siècle que possède sa famille en Italie, à jouer de la musique classique, à lire et à flirter avec son amie Marzia. Son père, éminent professeur spécialiste de la culture gréco-romaine, et sa mère, traductrice, lui ont donné une excellente éducation, et il est proche de ses parents. Sa sophistication et ses talents intellectuels font d’Elio un jeune homme mûr pour son âge, mais il conserve aussi une certaine innocence, en particulier pour ce qui touche à l’amour. Un jour, Oliver, un séduisant Américain qui prépare son doctorat, vient travailler auprès du père d’Elio. Elio et Oliver vont bientôt découvrir l’éveil du désir, au cours d’un été ensoleillé dans la campagne italienne qui changera leur vie à jamais.",['Luca Guadagnino'],2 h 11 min,28 février 2018,"['Armie Hammer', ' Timothée Chalamet', ' Michael Stuhlbarg']","{'note_moyenne': 7.3, 'nombre_critiques': 22074, 'repartition_note': [108, 115, 257, 563, 1128, 2361, 4871, 6386, 4051, 2234]}",7,"['7,9', '210 926']",93,"{'budget': 'EUR4,000,000', 'Cumulative_WW_Gross': '$41,888,660', 'location': 'Italy | France | USA | Brazil'}"
"First Man, le premier homme sur la Lune",Film,"['Biopic', 'drame']","Pilote jugé « un peu distrait » par ses supérieurs en 1961, Neil Armstrong sera, le 21 juillet 1969, le premier homme à marcher sur la lune. Durant huit ans, il subit un entraînement de plus en plus difficile, assumant courageusement tous les risques d’un voyage vers l’inconnu total. Meurtri par des épreuves personnelles qui laissent des traces indélébiles, Armstrong tente d’être un mari aimant auprès d’une femme qui l’avait épousé en espérant une vie normale.",['Damien Chazelle'],2 h 22 min,12 octobre 2018,"['Ryan Gosling', ' Claire Foy', ' Kyle Chandler']","{'note_moyenne': 7.1, 'nombre_critiques': 15921, 'repartition_note': [28, 56, 101, 311, 876, 2488, 5276, 4921, 1535, 329]}",8,"['7,3', '167 724']",84,"{'budget': '$59,000,000', 'Cumulative_WW_Gross': '$105,702,570', 'location': 'USA | Japan'}"
Les Indestructibles 2,Long-métrage d'animation,"['Animation', ' action', ' aventure']","Notre famille de super-héros préférée est de retour! Cette fois c’est Hélène qui se retrouve sur le devant de la scène laissant à Bob le soin de mener à bien les mille et une missions de la vie quotidienne et de s’occuper de Violette, Flèche et de bébé Jack-Jack. C’est un changement de rythme difficile pour la famille d’autant que personne ne mesure réellement l’étendue des incroyables pouvoirs du petit dernier… Lorsqu’un nouvel ennemi fait surface, la famille et Frozone vont devoir s’allier comme jamais pour déjouer son plan machiavélique.",['Brad Bird'],1 h 58 min,15 juin 2018,"['Craig T. Nelson', ' Holly Hunter', ' Samuel L. Jackson']","{'note_moyenne': 7.2, 'nombre_critiques': 29431, 'repartition_note': [55, 49, 143, 379, 1174, 4051, 10283, 9416, 2999, 882]}",9,"['7,6', '248 719']",80,"{'budget': '$200,000,000', 'Cumulative_WW_Gross': '$1,243,089,214', 'location': 'USA'}"
Phantom Thread,Film,['Drame'],"Dans le Londres glamour des années 50, le célèbre couturier Reynold Woodcock et sa sœur Cyril sont au cœur de la mode britannique, habillant la famille royale, les stars de cinéma, les héritières, les mondains et les dames dans le style reconnaissable de la Maison Woodcock. Les femmes défilent dans la vie de Woodcock, apportant à ce célibataire endurci inspiration et compagnie, jusqu’au jour où il rencontre Alma, une jeune femme au caractère fort qui deviendra rapidement sa muse et son amante. Lui qui contrôlait et planifiait sa vie au millimètre près, le voici bouleversé par l’amour.",['Paul Thomas Anderson'],2 h 10 min,25 décembre 2017,"['Daniel Day-Lewis', ' Vicky Krieps', ' Lesley Manville']","{'note_moyenne': 7.2, 'nombre_critiques': 10651, 'repartition_note': [29, 52, 127, 302, 737, 1732, 3142, 3020, 1148, 362]}",10,"['7,5', '111 741']",90,"{'budget': '$35,000,000', 'Cumulative_WW_Gross': '$47,756,590', 'location': 'USA | UK'}"
