nom_film,type_production,theme_production,Synopsis,Realisateur,duree_film,sortie_film,acteurs_principaux,charts,rang,charts_IMDB,charts_METACRITIC,other_details
Premier contact,Film,"['Science-fiction', ' drame', 'thriller']","Lorsque de mystérieux vaisseaux venus du fond de l’espace surgissent un peu partout sur Terre, une équipe d’experts est rassemblée sous la direction de la linguiste Louise Banks afin de tenter de comprendre leurs intentions.
Face à l’énigme que constituent leur présence et leurs messages mystérieux, les réactions dans le monde sont extrêmes et l’humanité se retrouve bientôt au bord d’une guerre absolue. Louise Banks et son équipe n’ont que très peu de temps pour trouver des réponses. Pour les obtenir, la jeune femme va prendre un risque qui pourrait non seulement lui coûter la vie, mais détruire le genre humain…",['Denis Villeneuve'],1 h 56 min,10 novembre 2016,"['Amy Adams', ' Jeremy Renner', ' Forest Whitaker']","{'note_moyenne': 7.6, 'nombre_critiques': 46496, 'repartition_note': [101, 110, 306, 678, 1693, 4531, 11209, 16668, 8805, 2395]}",1,"['7,9', '591 946']",81,"{'budget': '$47,000,000', 'Cumulative_WW_Gross': '$203,388,186', 'location': 'USA | Canada'}"
Zootopie,Long-métrage d'animation,"['Animation', ' aventure', ' comédie']","Zootopia est une ville qui ne ressemble à aucune autre : seuls les animaux y habitent ! On y trouve des quartiers résidentiels élégants comme le très chic Sahara Square, et d’autres moins hospitaliers comme le glacial Tundratown. Dans cette incroyable métropole, chaque espèce animale cohabite avec les autres. Qu’on soit un immense éléphant ou une minuscule souris, tout le monde à sa place à Zootopia !
Lorsque Judy Hopps fait son entrée dans la police, elle découvre qu’il est bien difficile de s’imposer chez les gros durs en uniforme, surtout quand on est une adorable lapine. Bien décidée à faire ses preuves, Judy s’attaque à une épineuse affaire, même si cela l’oblige à faire équipe avec Nick Wilde, un renard à la langue bien pendue et véritable virtuose de l’arnaque...","['Byron Howard', ' Rich Moore', 'Jared Bush']",1 h 49 min,11 février 2016,"['Jason Bateman', ' Ginnifer Goodwin', ' Idris Elba']","{'note_moyenne': 7.4, 'nombre_critiques': 49546, 'repartition_note': [72, 93, 218, 559, 1797, 6036, 15955, 16619, 6320, 1877]}",2,"['8,0', '432 656']",78,"{'budget': '$150,000,000', 'Cumulative_WW_Gross': '$1,023,792,558', 'location': 'USA'}"
Mademoiselle,Film,"['Drame', ' thriller', ' romance']","Corée du Sud, sous la domination nippone des années 30. Sook-Hee est engagée comme servante d’une riche japonaise, dame Hideko, laquelle vit recluse dans un immense manoir sous la coupe d’un oncle tyrannique. Sook-Hee obéit aux ordres du comte Fujiwara, lequel en a après la fortune de dame Hideko.",['Park Chan-wook'],2 h 24 min,1 juin 2016,"['Kim Min-hee', ' Kim Tae-ri', ' Ha Jung-woo']","{'note_moyenne': 7.9, 'nombre_critiques': 21221, 'repartition_note': [46, 34, 70, 196, 459, 1363, 4167, 8127, 5079, 1680]}",3,"['8,1', '112 533']",84,"{'budget': 'KRW10,000,000,000', 'Cumulative_WW_Gross': '$37,767,206', 'location': 'South Korea'}"
Captain Fantastic,Film,"['Drame', ' comédie', 'romance']","Dans les forêts reculées du nord-ouest des Etats-Unis, vivant isolé de la société, un père dévoué a consacré sa vie toute entière à faire de ses six jeunes enfants d’extraordinaires adultes.
Mais quand le destin frappe sa famille, ils doivent abandonner ce paradis qu’il avait créé pour eux. La découverte du monde extérieur va l’obliger à questionner ses méthodes d’éducation et remettre en cause tout ce qu’il leur a appris.",['Matt Ross'],1 h 58 min,8 juillet 2016,"['Viggo Mortensen', ' Frank Langella', ' George MacKay']","{'note_moyenne': 7.5, 'nombre_critiques': 31942, 'repartition_note': [61, 86, 206, 419, 1026, 2782, 8342, 11489, 5683, 1848]}",4,"['7,9', '188 485']",72,"{'budget': None, 'Cumulative_WW_Gross': '$23,123,592', 'location': 'USA'}"
The Neon Demon,Film,"['Thriller', ' drame', 'Épouvante-horreur']","Une jeune fille débarque à Los Angeles. Son rêve est de devenir mannequin. Son ascension fulgurante, sa beauté et sa pureté suscitent jalousies et convoitises. Certaines filles s'inclinent devant elle, d'autres sont prêtes à tout pour lui voler sa beauté.",['Nicolas Winding Refn'],1 h 58 min,8 juin 2016,"['Elle Fanning', ' Jena Malone', ' Bella Heathcote']","{'note_moyenne': 6.5, 'nombre_critiques': 24438, 'repartition_note': [338, 478, 955, 1634, 2869, 4605, 5800, 4734, 2184, 841]}",5,"['6,2', '84 013']",51,"{'budget': '$7,000,000', 'Cumulative_WW_Gross': '$3,377,430', 'location': 'USA | Belgium | Denmark | France'}"
Rogue One : A Star Wars Story,Film,"['Action', ' aventure', 'science-fiction']",Cet opus se déroule entre l’épisode 3 et 4 et nous raconte comment l’Alliance Rebelle a pris possession des plans de l’Etoile Noire.,['Gareth Edwards'],2 h 13 min,16 décembre 2016,"['Felicity Jones', ' Diego Luna', ' Ben Mendelsohn']","{'note_moyenne': 6.8, 'nombre_critiques': 44730, 'repartition_note': [217, 281, 692, 1494, 3408, 7703, 14568, 11581, 3794, 992]}",6,"['7,8', '554 614']",65,"{'budget': '$200,000,000', 'Cumulative_WW_Gross': '$1,056,057,720', 'location': 'USA'}"
Deadpool,Film,"['Action', ' aventure', 'comédie']","Deadpool, est l'anti-héros le plus atypique de l'univers Marvel. A l'origine, il s'appelle Wade Wilson : un ancien militaire des Forces Spéciales devenu mercenaire. Après avoir subi une expérimentation hors norme qui va accélérer ses pouvoirs de guérison, il va devenir Deadpool. Armé de ses nouvelles capacités et d'un humour noir survolté, Deadpool va traquer l'homme qui a bien failli anéantir sa vie.",['Tim Miller'],1 h 48 min,4 février 2016,"['Ryan Reynolds', ' Morena Baccarin', ' Ed Skrein']","{'note_moyenne': 6.6, 'nombre_critiques': 59818, 'repartition_note': [548, 706, 1291, 2541, 5132, 11526, 18348, 13145, 4699, 1882]}",7,"['8,0', '900 480']",65,"{'budget': '$58,000,000', 'Cumulative_WW_Gross': '$782,612,711', 'location': 'USA'}"
Dernier train pour Busan,Film,"['Action', ' Épouvante-horreur', 'thriller']","Un virus inconnu se répand en Corée du Sud, l'état d'urgence est décrété. Les passagers du train KTX se livrent à une lutte sans merci afin de survivre jusqu'à Busan, l'unique ville où ils seront en sécurité...",['Yeon Sang-ho'],1 h 58 min,20 juillet 2016,"['Gong Yoo', ' Jung Yu-mi', ' Ma Dong-seok']","{'note_moyenne': 7.2, 'nombre_critiques': 29582, 'repartition_note': [72, 108, 258, 670, 1575, 4288, 10169, 8877, 2776, 789]}",8,"['7,6', '164 721']",72,"{'budget': 'KRW10,000,000,000', 'Cumulative_WW_Gross': '$92,764,199', 'location': 'South Korea'}"
The Strangers,Film,"['Thriller', ' drame', ' Épouvante-horreur']","La vie d’un village coréen est bouleversée par une série de meurtres, aussi sauvages qu’inexpliqués, qui frappe au hasard la petite communauté rurale.

La présence, récente, d’un vieil étranger qui vit en ermite dans les bois attise rumeurs et superstitions.

Face à l’incompétence de la police pour trouver l’assassin ou une explication sensée, certains villageois demandent l’aide d’un chaman.

Pour Jong-Gu aussi, un policier dont la famille est directement menacée, il est de plus en plus évident que ces crimes ont un fondement surnaturel...",['Na Hong-jin'],2 h 36 min,12 mai 2016,"['Kwak Do-won', ' Hwang Jung-min', ' Jun Kunimura']","{'note_moyenne': 7.5, 'nombre_critiques': 13354, 'repartition_note': [39, 62, 114, 287, 645, 1538, 3538, 4424, 2140, 567]}",9,"['7,5', '51 252']",81,"{'budget': '$6,420,000', 'Cumulative_WW_Gross': '$49,851,770', 'location': 'South Korea | USA'}"
The Nice Guys,Film,"['Action', ' comédie', ' policier']","Los Angeles. Années 70. Deux détectives privés enquêtent sur le prétendu suicide d’une starlette. Malgré des méthodes pour le moins « originales », leurs investigations vont mettre à jour une conspiration impliquant des personnalités très haut placées…",['Shane Black'],1 h 56 min,15 mai 2016,"['Russell Crowe', ' Ryan Gosling', ' Angourie Rice']","{'note_moyenne': 6.9, 'nombre_critiques': 26778, 'repartition_note': [39, 93, 257, 688, 1967, 5469, 10549, 6246, 1219, 251]}",10,"['7,4', '278 838']",70,"{'budget': '$50,000,000', 'Cumulative_WW_Gross': '$62,788,218', 'location': 'USA'}"
