nom_film,type_production,theme_production,Synopsis,Realisateur,duree_film,sortie_film,acteurs_principaux,charts,rang,charts_IMDB,charts_METACRITIC,other_details
La La Land,Film,"['Comédie musicale', ' comédie dramatique', ' romance']","Au cœur de Los Angeles, une actrice en devenir prénommée Mia sert des cafés entre deux auditions.
De son côté, Sebastian, passionné de jazz, joue du piano dans des clubs miteux pour assurer sa subsistance.
Tous deux sont bien loin de la vie rêvée à laquelle ils aspirent…
Le destin va réunir ces doux rêveurs, mais leur coup de foudre résistera-t-il aux tentations, aux déceptions, et à la vie trépidante d’Hollywood ?",['Damien Chazelle'],2 h 08 min,9 décembre 2016,"['Ryan Gosling', ' Emma Stone', ' John Legend']","{'note_moyenne': 7.5, 'nombre_critiques': 52680, 'repartition_note': [308, 392, 664, 1339, 2766, 5488, 10793, 14405, 10738, 5787]}",1,"['8,0', '503 519']",94,"{'budget': '$30,000,000', 'Cumulative_WW_Gross': '$449,287,645', 'location': 'USA | Hong Kong'}"
Blade Runner 2049,Film,"['Science-fiction', 'film noir']","L'officier K, un Blade Runner, fait une découverte révolutionnaire qui l'amène à la recherche d'un ancien agent nommé Rick Deckard.",['Denis Villeneuve'],2 h 44 min,4 octobre 2017,"['Ryan Gosling', ' Harrison Ford', ' Jared Leto']","{'note_moyenne': 7.4, 'nombre_critiques': 35775, 'repartition_note': [143, 189, 371, 954, 1975, 4304, 8561, 11267, 6330, 1681]}",2,"['8,0', '459 193']",81,"{'budget': '$150,000,000', 'Cumulative_WW_Gross': '$259,240,525', 'location': 'USA | UK | Hungary | Canada | Spain'}"
Logan,Film,"['Action', ' science-fiction', ' aventure']","Dans un futur proche, un Logan épuisé prend soin d'un Professeur X malade dans un recoin de la frontière mexicaine. Mais les tentatives de Logan de se cacher du monde et son héritage sont bouleversés lorsqu'une jeune mutante arrive, poursuivie par les forces du mal.",['James Mangold'],2 h 15 min,1 mars 2017,"['Hugh Jackman', ' Patrick Stewart', ' Dafne Keen']","{'note_moyenne': 7.2, 'nombre_critiques': 39719, 'repartition_note': [110, 168, 397, 921, 2315, 5936, 12233, 11916, 4527, 1196]}",3,"['8,1', '645 594']",77,"{'budget': '$97,000,000', 'Cumulative_WW_Gross': '$619,021,436', 'location': 'USA'}"
Dunkerque,Film,"['Action', ' drame', 'guerre']",,['Christopher Nolan'],1 h 46 min,19 juillet 2017,"['Fionn Whitehead', ' Mark Rylance', ' Tom Hardy']","{'note_moyenne': 7.0, 'nombre_critiques': 43279, 'repartition_note': [138, 202, 549, 1352, 3200, 7297, 13089, 11658, 4638, 1156]}",4,"['7,8', '552 579']",94,"{'budget': '$100,000,000', 'Cumulative_WW_Gross': '$526,949,403', 'location': 'UK | Netherlands | France | USA'}"
Get Out,Film,"['Thriller', 'Épouvante-horreur']","Couple mixte, Chris et sa petite amie Rose filent le parfait amour. Le moment est donc venu de rencontrer la belle famille, Missy et Dean lors d’un week-end sur leur domaine dans le nord de l’État. Chris commence par penser que l’atmosphère tendue est liée à leur différence de couleur de peau, mais très vite une série d’incidents de plus en plus inquiétants lui permet de découvrir l’inimaginable.",['Jordan Peele'],1 h 43 min,27 février 2017,"['Daniel Kaluuya', ' Allison Williams', ' Catherine Keener']","{'note_moyenne': 7.2, 'nombre_critiques': 41891, 'repartition_note': [107, 162, 354, 861, 2020, 5490, 13946, 13598, 4319, 1034]}",5,"['7,7', '490 605']",85,"{'budget': '$4,500,000', 'Cumulative_WW_Gross': '$255,446,148', 'location': 'USA | Japan'}"
Baby Driver,Film,"['Action', ' thriller', ' comédie']","Chauffeur pour des braqueurs de banque, Baby ne compte que sur lui-même pour être le meilleur. Lorsqu’il rencontre la fille de ses rêves, il cherche à mettre fin à ses activités criminelles. Mais son patron ne va pas le laisser revenir dans le droit chemin si facilement...",['Edgar Wright'],1 h 53 min,28 juin 2017,"['Ansel Elgort', ' Lily James', ' Kevin Spacey']","{'note_moyenne': 6.9, 'nombre_critiques': 34812, 'repartition_note': [150, 226, 531, 1191, 2700, 6373, 11005, 8796, 2986, 854]}",6,"['7,6', '437 025']",86,"{'budget': '$34,000,000', 'Cumulative_WW_Gross': '$226,945,087', 'location': 'UK | USA'}"
Grave,Film,['Épouvante-Horreur'],"Dans la famille de Justine tout le monde est vétérinaire et végétarien. À 16 ans, elle est une adolescente surdouée sur le point d’intégrer l’école véto où sa sœur ainée est également élève. Mais, à peine installés, le bizutage commence pour les premières années. On force Justine à manger de la... Lire la suite",['Julia Ducournau'],1 h 39 min,15 mars 2017,"['Garance Marillier', ' Ella Rumpf', ' Rabah Naït Oufella']","{'note_moyenne': 7.0, 'nombre_critiques': 28149, 'repartition_note': [255, 315, 553, 1026, 1811, 3934, 7908, 7801, 3408, 1138]}",7,"['7,0', '60 186']",81,"{'budget': 'EUR3,500,000', 'Cumulative_WW_Gross': '$3,096,815', 'location': 'France | Belgium | Italy'}"
Au revoir là-haut,Film,['Comédie dramatique'],"Novembre 1919. Deux rescapés des tranchées, l'un dessinateur de génie, l'autre modeste comptable, décident de monter une arnaque aux monuments aux morts.",['Albert Dupontel'],1 h 57 min,25 octobre 2017,"['Nahuel Pérez Biscayart', ' Albert Dupontel', ' Laurent Lafitte']","{'note_moyenne': 7.5, 'nombre_critiques': 27428, 'repartition_note': [47, 54, 145, 352, 961, 2812, 7713, 9848, 4235, 1261]}",8,"['7,5', '8 025']",Reviews,"{'budget': 'EUR19,750,000', 'Cumulative_WW_Gross': '$16,094,346', 'location': 'France | Canada'}"
Coco,Long-métrage d'animation,"['Animation', ' aventure', ' comédie']","Un jeune garçon trouve le moyen de pénétrer dans le royaume des morts. Cependant, il doit retrouver le fantôme d'un célèbre musicien pour espérer retourner dans le monde des vivants.","['Lee Unkrich', 'Adrian Molina']",1 h 45 min,22 novembre 2017,"['Anthony Gonzalez', ' Gael García Bernal', ' Benjamin Bratt']","{'note_moyenne': 7.7, 'nombre_critiques': 31460, 'repartition_note': [78, 46, 94, 210, 699, 2383, 7326, 11836, 6228, 2560]}",9,"['8,4', '380 194']",81,"{'budget': '$175,000,000', 'Cumulative_WW_Gross': '$807,817,888', 'location': 'USA'}"
120 battements par minute,Film,['Drame'],"Début des années 90. Alors que le sida tue depuis près de dix ans, les militants d'Act Up-Paris multiplient les actions pour lutter contre l'indifférence générale. Nouveau venu dans le groupe, Nathan va être bouleversé par Sean qui consume ses dernières forces dans l'action.",['Robin Campillo'],2 h 23 min,23 août 2017,"['Nahuel Pérez Biscayart', ' Arnaud Valois', ' Adèle Haenel']","{'note_moyenne': 7.4, 'nombre_critiques': 23409, 'repartition_note': [79, 78, 172, 364, 933, 2450, 5819, 7756, 4161, 1597]}",10,"['7,4', '13 367']",84,"{'budget': 'EUR5,383,899', 'Cumulative_WW_Gross': '$7,704,369', 'location': 'France'}"
