nom_film,type_production,theme_production,Synopsis,Realisateur,duree_film,sortie_film,acteurs_principaux,charts,rang,charts_IMDB,charts_METACRITIC,other_details
Edmond,Film,['Comédie dramatique'],"Décembre 1897, Paris. Edmond Rostand n'a pas encore trente ans mais déjà deux enfants et beaucoup d'angoisses. Il n'a rien écrit depuis deux ans. En désespoir de cause, il propose au grand Constant Coquelin une pièce nouvelle, une comédie héroïque, en vers, pour les fêtes. Seul souci : elle n'est pas encore écrite. Faisant fi des caprices des actrices, des exigences de ses producteurs corses, de la jalousie de sa femme, des histoires de cœur de son meilleur ami et du manque d'enthousiasme de l'ensemble de son entourage, Edmond se met à écrire cette pièce à laquelle personne ne croit. Pour l'instant, il n'a que le titre : "" Cyrano de Bergerac """,['Alexis Michalik'],1 h 50 min,9 janvier 2019,"['Thomas Soliveres', ' Olivier Gourmet', ' Mathilde Seigner']","{'note_moyenne': 7.1, 'nombre_critiques': 6520, 'repartition_note': [20, 44, 64, 113, 265, 884, 2201, 2061, 664, 204]}",35,"['7,4', '2 292']",61,"{'budget': None, 'Cumulative_WW_Gross': '$5,985,822', 'location': 'France | Belgium'}"
Hors Normes,Film,['Comédie dramatique'],"Bruno et Malik vivent depuis 20 ans dans un monde à part, celui des enfants et adolescents autistes. Au sein de leurs deux associations respectives, ils forment des jeunes issus des quartiers difficiles pour encadrer ces cas qualifiés d’hyper complexes. Une alliance hors du commun pour des personnalités hors normes.","['Olivier Nakache', 'Eric Toledano']",1 h 54 min,23 octobre 2019,"['Vincent Cassel', ' Reda Kateb', ' Hélène Vincent']","{'note_moyenne': 7.3, 'nombre_critiques': 11640, 'repartition_note': [18, 37, 62, 112, 312, 1279, 3859, 4117, 1395, 449]}",36,"['7,4', '6 137']",Reviews,"{'budget': None, 'Cumulative_WW_Gross': '$19,363,826', 'location': 'France | Belgium'}"
Star Wars : L'Ascension de Skywalker,Film,"['Action', ' aventure', 'science-fiction']","Après le retour mystérieux de Palpatine, la Résistance affronte à nouveau le Premier Ordre dans le dernier chapitre de la saga Skywalker.",['J.J. Abrams'],2 h 21 min,18 décembre 2019,"['Daisy Ridley', ' Adam Driver', ' John Boyega']","{'note_moyenne': 5.2, 'nombre_critiques': 23422, 'repartition_note': [830, 1061, 2087, 3228, 4589, 5264, 3787, 1725, 493, 358]}",37,"['6,6', '370 917']",53,"{'budget': '$275,000,000', 'Cumulative_WW_Gross': '$1,074,144,248', 'location': 'USA'}"
An Elephant Sitting Still,Film,['Drame'],"Au nord de la Chine, une vaste ville post-industrielle et pourtant vide, plongée dans un brouillard perpétuel qui semble piéger ses habitants. Un matin, une simple altercation entre deux adolescents dans un lycée dégénère et va souder les destins de quatre individus brisés par l’égoïsme familial et la violence sociale. Une obsession commune les unit : fuir vers la ville de Manzhouli. On raconte que, là-bas, un éléphant de cirque reste assis toute la journée, immobile…",['Hu Bo'],3 h 50 min,9 janvier 2019,"['Zhang Yu (7)', ' Yuchang Peng', ' Uvin Wang']","{'note_moyenne': 7.9, 'nombre_critiques': 1049, 'repartition_note': [3, 4, 6, 16, 38, 72, 221, 347, 223, 119]}",38,"['7,8', '4 893']",86,"{'budget': None, 'Cumulative_WW_Gross': '$39,599', 'location': 'China'}"
J'accuse,Film,"['Drame', ' historique', ' thriller']","Pendant les 12 années qu’elle dura, l’Affaire Dreyfus déchira la France, provoquant un véritable séisme dans le monde entier. Elle apparaît toujours comme un symbole de l'iniquité dont sont capables les autorités politiques au nom de la raison d’état. Dans cet immense scandale, le plus grand sans doute de la fin du XIXe siècle, se mêlent erreur judiciaire, déni de justice et antisémitisme. L’affaire est racontée du point de vue du Colonel Picquart, véritable héros oublié de l’Affaire Dreyfus. Une fois nommé à la tête du contre-espionnage, le Colonel Picquart finit par découvrir que les preuves contre le Capitaine Alfred Dreyfus avaient été fabriquées. A partir de cet instant, au péril de sa carrière puis de sa vie, il n’aura de cesse d’identifier les vrais coupables et de réhabiliter Alfred Dreyfus.",['Roman Polanski'],2 h 12 min,13 novembre 2019,"['Jean Dujardin', ' Louis Garrel', ' Emmanuelle Seigner']","{'note_moyenne': 6.7, 'nombre_critiques': 9028, 'repartition_note': [254, 45, 91, 260, 659, 1765, 3373, 2081, 397, 103]}",40,"['7,2', '12 866']",56,"{'budget': '$25,300,000', 'Cumulative_WW_Gross': '$18,878,646', 'location': 'France | Italy'}"
Un grand voyage vers la nuit,Film,['Drame'],"Luo Hongwu revient à Kaili, sa ville natale, après s’être enfui pendant plusieurs années. Il se met à la recherche de la femme qu’il a aimée et jamais effacée de sa mémoire. Elle disait s’appeler Wan Quiwen…",['Bi Gan'],2 h 18 min,30 janvier 2019,"['Huang Jue', ' Tang Wei', ' Sylvia Chang']","{'note_moyenne': 6.9, 'nombre_critiques': 1949, 'repartition_note': [8, 20, 52, 93, 196, 319, 506, 468, 215, 72]}",41,"['7,2', '6 357']",88,"{'budget': 'CNY100,000,000', 'Cumulative_WW_Gross': '$42,140,994', 'location': 'China | France'}"
Le Traître,Film,"['Biopic', ' policier', 'drame']","Au début des années 80, la guerre entre les parrains de la mafia sicilienne est à son comble.
Tommaso Buscetta, membre de Cosa Nostra, fuit son pays pour se cacher au Brésil.
Pendant ce temps, en Italie, les règlements de comptes s’enchaînent, et les proches de Buscetta sont assassinés les uns après les autres.

Arrêté par la police brésilienne puis extradé, Buscetta, prend une décision qui va changer l’histoire de la mafia : rencontrer le juge Falcone et trahir le serment fait à Cosa Nostra.",['Marco Bellocchio'],2 h 31 min,30 octobre 2019,"['Pierfrancesco Favino', ' Maria Fernanda Cândido', ' Fabrizio Ferracane']","{'note_moyenne': 7.2, 'nombre_critiques': 4307, 'repartition_note': [7, 14, 15, 51, 172, 604, 1663, 1424, 290, 67]}",42,"['7,1', '8 259']",64,"{'budget': None, 'Cumulative_WW_Gross': '$8,851,632', 'location': 'Italy | France | Germany | Brazil'}"
Spider-Man : Far From Home,Film,"['Action', ' aventure', 'science-fiction']","L’araignée sympa du quartier décide de rejoindre ses meilleurs amis Ned, MJ, et le reste de la bande pour des vacances en Europe. Cependant, le projet de Peter de laisser son costume de super-héros derrière lui pendant quelques semaines est rapidement compromis quand il accepte à contrecoeur d’aider Nick Fury à découvrir le mystère de plusieurs attaques de créatures, qui ravagent le continent !",['Jon Watts'],2 h 09 min,3 juillet 2019,"['Tom Holland', ' Jake Gyllenhaal', ' Zendaya']","{'note_moyenne': 6.1, 'nombre_critiques': 16331, 'repartition_note': [154, 202, 478, 1068, 2237, 4365, 5003, 2084, 503, 237]}",43,"['7,5', '321 531']",69,"{'budget': '$160,000,000', 'Cumulative_WW_Gross': '$1,131,927,996', 'location': 'USA'}"
Sorry to Bother You,Film,"['Comédie', ' fantastique', 'science-fiction']","Après avoir décroché un boulot de vendeur en télémarketing, Cassius Green bascule dans un univers macabre en découvrant une méthode magique pour gagner beaucoup d'argent. Tandis que sa carrière décolle, ses amis et collègues se mobilisent contre l'exploitation dont ils s'estiment victimes au sein de l'entreprise. Mais Cassius se laisse fasciner par son patron cocaïnomane qui lui propose un salaire au-delà de ses espérances les plus folles…",['Boots Riley'],1 h 51 min,30 janvier 2019,"['Lakeith Stanfield', ' Tessa Thompson', ' Danny Glover']","{'note_moyenne': 6.7, 'nombre_critiques': 4327, 'repartition_note': [12, 19, 63, 154, 389, 892, 1546, 971, 231, 50]}",44,"['6,9', '63 017']",80,"{'budget': '$3,200,000', 'Cumulative_WW_Gross': '$18,170,707', 'location': 'USA'}"
Matthias & Maxime,Film,"['Drame', 'romance']","Deux amis d’enfance s’embrassent pour les besoins d’un court métrage amateur. Suite à ce baiser d’apparence anodine, un doute récurrent s’installe, confrontant les deux garçons à leurs préférences, bouleversant l'équilibre de leur cercle social et, bientôt, leurs existences.",['Xavier Dolan'],1 h 59 min,16 octobre 2019,"[""Gabriel D'Almeida Freitas"", ' Xavier Dolan', ' Anne Dorval']","{'note_moyenne': 6.7, 'nombre_critiques': 6546, 'repartition_note': [22, 44, 68, 181, 473, 1316, 2134, 1612, 516, 180]}",45,"['6,8', '5 134']",60,"{'budget': None, 'Cumulative_WW_Gross': '$1,863,999', 'location': 'Canada | France'}"
Captain Marvel,Film,"['Action', ' aventure', 'science-fiction']",Captain Marvel raconte l’histoire de Carol Danvers qui va devenir l’une des super-héroïnes les plus puissantes de l’univers lorsque la Terre se révèle l’enjeu d’une guerre galactique entre deux races extraterrestres.,"['Anna Boden', 'Ryan Fleck']",2 h 04 min,6 mars 2019,"['Brie Larson', ' Samuel L. Jackson', ' Jude Law']","{'note_moyenne': 5.8, 'nombre_critiques': 18824, 'repartition_note': [277, 369, 751, 1543, 3169, 5709, 4758, 1665, 380, 203]}",46,"['6,9', '438 227']",64,"{'budget': '$160,000,000', 'Cumulative_WW_Gross': '$1,128,462,972', 'location': 'USA | Australia'}"
L'Heure de la sortie,Film,['Thriller'],"Lorsque Pierre Hoffman intègre le prestigieux collège de Saint Joseph il décèle une hostilité chez les 3ème. Est-ce parce que leur professeur de français s'est jeté par la fenêtre en plein cours? Parce qu’ils semblent terrifiés par la menace écologique et avoir perdu tout espoir en l’avenir? De la curiosité à l’obsession, Pierre va tenter de percer leur secret...",['Sébastien Marnier'],1 h 43 min,9 janvier 2019,"['Laurent Lafitte', ' Emmanuelle Bercot', ' Pascal Greggory']","{'note_moyenne': 6.7, 'nombre_critiques': 4642, 'repartition_note': [23, 42, 80, 194, 392, 1049, 1697, 883, 226, 56]}",47,"['6,5', '2 258']",Reviews,"{'budget': None, 'Cumulative_WW_Gross': '$487,374', 'location': 'France'}"
Bienvenue à Marwen,Film,"['Biopic', ' drame', 'fantastique']","L'histoire de Mark Hogancamp, victime d'une amnésie totale après avoir été sauvagement agressé, et qui, en guise de thérapie, se lance dans la construction de la réplique d'un village belge durant la Seconde Guerre mondiale, mettant en scène les figurines des habitants en les identifiant à ses proches, ses agresseurs ou lui-même",['Robert Zemeckis'],1 h 56 min,2 janvier 2019,"['Steve Carell', ' Leslie Mann', ' Diane Kruger']","{'note_moyenne': 6.5, 'nombre_critiques': 5071, 'repartition_note': [10, 31, 89, 243, 609, 1287, 1677, 878, 201, 46]}",48,"['6,2', '19 826']",40,"{'budget': '$39,000,000', 'Cumulative_WW_Gross': '$13,061,491', 'location': 'Japan | USA'}"
Ma vie avec John F. Donovan,Film,['Drame'],"Dix ans après la mort d'une star de la télévision américaine, un jeune acteur se remémore la correspondance secrète entretenue autrefois avec cet homme, de même que l'impact que ces lettres ont eu sur leurs vies respectives.",['Xavier Dolan'],2 h 03 min,13 mars 2019,"['Kit Harington', ' Jacob Tremblay', ' Susan Sarandon']","{'note_moyenne': 6.1, 'nombre_critiques': 9891, 'repartition_note': [65, 142, 303, 680, 1477, 2400, 2630, 1537, 485, 172]}",49,"['6,1', '5 377']",28,"{'budget': '$35,000,000', 'Cumulative_WW_Gross': '$3,326,364', 'location': 'UK | Canada'}"
Sorry We Missed You,Film,['Drame'],"Ricky, Abby et leurs deux enfants vivent à Newcastle. Leur famille est soudée et les parents travaillent dur. Alors qu’Abby travaille avec dévouement pour des personnes âgées à domicile, Ricky enchaîne les jobs mal payés ; ils réalisent que jamais ils ne pourront devenir indépendants ni propriétaires de leur maison. C’est maintenant ou jamais ! Une réelle opportunité semble leur être offerte par la révolution numérique : Abby vend alors sa voiture pour que Ricky puisse acheter une camionnette afin de devenir chauffeur-livreur à son compte. Mais les dérives de ce nouveau monde moderne auront des répercussions majeures sur toute la famille…",['Ken Loach'],1 h 41 min,23 octobre 2019,"['Kris Hitchen', ' Debbie Honeywood', ' Rhys Stone']","{'note_moyenne': 7.1, 'nombre_critiques': 4816, 'repartition_note': [7, 12, 34, 57, 186, 655, 1893, 1446, 411, 115]}",50,"['7,6', '16 171']",82,"{'budget': None, 'Cumulative_WW_Gross': '$8,768,505', 'location': 'UK | France | Belgium'}"
Asako I&II,Film,"['Drame', 'romance']","Lorsque son premier grand amour disparaît du jour au lendemain, Asako est abasourdie et quitte Osaka pour changer de vie. Deux ans plus tard à Tokyo, elle tombe de nouveau amoureuse et s’apprête à se marier... à un homme qui ressemble trait pour trait à son premier amant évanoui.",['Ryusuke Hamaguchi'],1 h 55 min,2 janvier 2019,"['Masahiro Higashide', ' Erika Karata', ' Rio Yamashita']","{'note_moyenne': 6.9, 'nombre_critiques': 2274, 'repartition_note': [4, 16, 30, 91, 182, 407, 796, 535, 158, 55]}",51,"['6,9', '1 981']",68,"{'budget': None, 'Cumulative_WW_Gross': '$627,102', 'location': 'Japan | France'}"
"So Long, My Son",Film,['Drame'],"Au début des années 1980, Liyun et Yaojun forment un couple heureux. Tandis que le régime vient de mettre en place la politique de l’enfant unique, un évènement tragique va bouleverser leur vie. Pendant 40 ans, alors qu’ils tentent de se reconstruire, leur destin va s’entrelacer avec celui de la Chine contemporaine.",['Wang Xiaoshuai'],3 h 05 min,3 juillet 2019,"['Wang Jingchun', ' Yong Mei', ' Ailiya']","{'note_moyenne': 7.4, 'nombre_critiques': 1739, 'repartition_note': [8, 4, 10, 27, 61, 200, 459, 646, 251, 73]}",52,"['7,6', '3 036']",88,"{'budget': None, 'Cumulative_WW_Gross': '$8,096,596', 'location': 'China'}"
Mon inconnue,Film,"['Comédie romantique', ' comédie', 'fantastique']","Du jour au lendemain, Raphaël se retrouve plongé dans un monde où il n’a jamais rencontré Olivia, la femme de sa vie. Comment va-t-il s’y prendre pour reconquérir sa femme, devenue une parfaite inconnue ?",['Hugo Gélin'],1 h 58 min,3 avril 2019,"['François Civil', ' Joséphine Japy', ' Benjamin Lavernhe']","{'note_moyenne': 6.7, 'nombre_critiques': 8496, 'repartition_note': [29, 39, 99, 240, 632, 1938, 3199, 1795, 399, 126]}",53,"['7,0', '3 463']",Reviews,"{'budget': None, 'Cumulative_WW_Gross': '$5,810,856', 'location': 'France | Belgium | South Korea'}"
Bacurau,Film,"['Drame', ' thriller', 'Épouvante-horreur']","Dans un futur proche… Le village de Bacurau dans le sertão brésilien fait le deuil de sa matriarche Carmelita qui s’est éteinte à 94 ans. Quelques jours plus tard, les habitants remarquent que Bacurau a disparu de la carte.","['Juliano Dornelles', 'Kleber Mendonça Filho']",2 h 12 min,25 septembre 2019,"['Bárbara Colen', ' Thomas Aquino', ' Sônia Braga']","{'note_moyenne': 6.8, 'nombre_critiques': 3314, 'repartition_note': [12, 31, 44, 130, 296, 625, 1142, 763, 211, 60]}",54,"['7,4', '19 970']",82,"{'budget': None, 'Cumulative_WW_Gross': '$3,541,476', 'location': 'Brazil | France'}"
