nom_film,type_production,theme_production,Synopsis,Realisateur,duree_film,sortie_film,acteurs_principaux,charts,rang,charts_IMDB,charts_METACRITIC,other_details
Interstellar,Film,"['Aventure', ' science-fiction', 'drame']",Un groupe d'explorateurs exploite une faille dans l'espace-temps afin de parcourir des distances incroyables dans le but de sauver l'humanité.,['Christopher Nolan'],2 h 49 min,5 novembre 2014,"['Matthew McConaughey', ' Anne Hathaway', ' Jessica Chastain']","{'note_moyenne': 7.8, 'nombre_critiques': 103702, 'repartition_note': [426, 449, 910, 1783, 3623, 8154, 18250, 28029, 25478, 16600]}",1,"['8,6', '1 505 320']",74,"{'budget': '$165,000,000', 'Cumulative_WW_Gross': '$701,795,571', 'location': 'USA | UK | Canada'}"
The Grand Budapest Hotel,Film,"['Comédie', 'drame']","Les tribulations de M. Gustave, concierge d'un hôtel et de son protégé durant l'entre deux guerres où l'Europe est en plein bouleversement.",['Wes Anderson'],1 h 39 min,7 mars 2014,"['Ralph Fiennes', ' Tony Revolori', ' Saoirse Ronan']","{'note_moyenne': 7.8, 'nombre_critiques': 70139, 'repartition_note': [100, 135, 391, 765, 1985, 5309, 15410, 26004, 14942, 5098]}",2,"['8,1', '705 100']",88,"{'budget': '$25,000,000', 'Cumulative_WW_Gross': '$172,940,180', 'location': 'Germany | USA'}"
Gone Girl,Film,"['Drame', 'thriller']","Le jour de leur 5e anniversaire de mariage, Amy disparaît et Nick retrouve leur maison saccagée. Tout semble accuser Nick. Il veut la vérité.",['David Fincher'],2 h 29 min,1 octobre 2014,"['Ben Affleck', ' Rosamund Pike', ' Neil Patrick Harris']","{'note_moyenne': 7.7, 'nombre_critiques': 70049, 'repartition_note': [125, 193, 349, 893, 2067, 5797, 16714, 27491, 13419, 3001]}",3,"['8,1', '856 525']",79,"{'budget': '$61,000,000', 'Cumulative_WW_Gross': '$369,330,363', 'location': 'USA'}"
Whiplash,Film,['Drame'],"Andrew, 19 ans, rêve de devenir l’un des meilleurs batteurs de jazz de sa génération. Mais la concurrence est rude au conservatoire de Manhattan où il s’entraîne avec acharnement. Il a pour objectif d’intégrer le fleuron des orchestres dirigé par Terence Fletcher, professeur féroce et intraitable. Lorsque celui-ci le repère enfin, Andrew se lance, sous sa direction, dans la quête de l’excellence...",['Damien Chazelle'],1 h 47 min,10 octobre 2014,"['Miles Teller', ' J.K. Simmons', ' Melissa Benoist']","{'note_moyenne': 8.1, 'nombre_critiques': 61812, 'repartition_note': [120, 122, 255, 471, 1187, 3264, 10659, 22182, 17704, 5848]}",4,"['8,5', '714 217']",88,"{'budget': '$3,300,000', 'Cumulative_WW_Gross': '$49,396,747', 'location': 'USA'}"
Mommy,Film,['Drame'],"Une veuve hérite de la garde de son fils, un adolescent impulsif et violent. Au coeur de leurs emportements, ils tentent de joindre les deux bouts.",['Xavier Dolan'],2 h 19 min,19 septembre 2014,"['Anne Dorval', ' Suzanne Clément', ' Antoine-Olivier Pilon']","{'note_moyenne': 7.9, 'nombre_critiques': 45306, 'repartition_note': [188, 206, 343, 588, 1159, 2598, 7055, 13500, 12486, 7183]}",5,"['8,1', '50 450']",74,"{'budget': None, 'Cumulative_WW_Gross': '$13,156,856', 'location': 'Canada'}"
Les Gardiens de la galaxie,Film,"['Action', ' aventure', ' science-fiction']","Peter rassemble une équipe d'aliens pour défendre la galaxie, menacée par Ronan et son armée, qui cherchent un mystérieux globe volé.",['James Gunn'],2 h 02 min,1 août 2014,"['Chris Pratt', ' Zoe Saldana', ' Dave Bautista']","{'note_moyenne': 7.0, 'nombre_critiques': 64355, 'repartition_note': [279, 453, 862, 1659, 4004, 9472, 20879, 18245, 6414, 2088]}",6,"['8,0', '1 041 021']",76,"{'budget': '$170,000,000', 'Cumulative_WW_Gross': '$773,350,128', 'location': 'USA'}"
Night Call,Film,"['Policier', 'drame']","Branché sur les fréquences radios de la police, Lou parcourt Los Angeles la nuit à la recherche d’images choc qu’il vend à prix d’or aux chaînes de TV locales. La course au spectaculaire n'aura aucune limite...",['Dan Gilroy'],1 h 57 min,17 octobre 2014,"['Jake Gyllenhaal', ' Rene Russo', ' Riz Ahmed']","{'note_moyenne': 7.5, 'nombre_critiques': 34107, 'repartition_note': [46, 52, 138, 404, 1162, 3761, 10852, 12977, 3937, 778]}",7,"['7,9', '463 970']",76,"{'budget': '$8,500,000', 'Cumulative_WW_Gross': '$47,398,992', 'location': 'USA'}"
Boyhood,Film,['Drame'],"Pendant 12 ans, le réalisateur met en scène Mason, alors âgé de 6 ans, et réunit les mêmes acteurs pour une incroyable histoire sur la vie de famille.",['Richard Linklater'],2 h 46 min,19 janvier 2014,"['Ellar Coltrane', ' Patricia Arquette', ' Lorelei Linklater']","{'note_moyenne': 7.3, 'nombre_critiques': 21842, 'repartition_note': [66, 94, 230, 476, 1184, 2970, 6216, 6558, 3074, 974]}",8,"['7,9', '334 931']",100,"{'budget': '$4,000,000', 'Cumulative_WW_Gross': '$48,137,666', 'location': 'USA'}"
La Grande Aventure LEGO,Long-métrage d'animation,"['Animation', ' action', 'comédie']","Emmet, un ouvrier de chantier, est choisi par erreur pour vaincre un redoutable ennemi. Malheureusement, ce pauvre héros n'est pas tout à fait prêt...","['Phil Lord', 'Christopher Miller']",1 h 40 min,7 février 2014,"['Chris Pratt', ' Elizabeth Banks', ' Will Arnett']","{'note_moyenne': 7.1, 'nombre_critiques': 28133, 'repartition_note': [167, 193, 366, 685, 1625, 4445, 9198, 7846, 2786, 822]}",9,"['7,7', '323 464']",83,"{'budget': '$60,000,000', 'Cumulative_WW_Gross': '$468,060,692', 'location': 'USA | Denmark | Australia'}"
X-Men : Days of Future Past,Film,"['Action', ' aventure', ' fantastique']","10 ans après, les X-Men doivent voyager dans le temps pour changer un événement historique majeur qui menace aussi bien les humains que les mutants.",['Bryan Singer'],2 h 12 min,23 mai 2014,"['Hugh Jackman', ' James McAvoy', ' Michael Fassbender']","{'note_moyenne': 6.6, 'nombre_critiques': 42704, 'repartition_note': [166, 301, 718, 1713, 4220, 9716, 14677, 8472, 2131, 590]}",10,"['7,9', '658 770']",75,"{'budget': '$200,000,000', 'Cumulative_WW_Gross': '$746,045,700', 'location': 'USA | UK | Canada'}"
